OBJECTID,NAME,OWNTYPE,SUBTYPEFIELD,FEATURECODE,FULLADDR,MUNICIPALITY,STATE,ZIP,CAPTUREMETH,LOCATIONTYPE,AGENCYURL,PHONE,last_edited_date,geometry,ConvertedX,ConvertedY
681,Vliet Museum of Lake Bluff History,Municipal,820,Museum,127 E Scranton Ave,Lake Bluff,IL, ,Placed on Map,,https://lakebluffhistory.org/, ,1561574114000,"{'x': -87.8428818486014, 'y': 42.27943460701791}",-87.8428818486014,42.27943460701791
682,Durand Art Institute / Sonnenschein Gallery,Municipal,820,Museum,555 N Sheridan Rd,Lake Forest,IL, ,Placed on Map,,https://www.lakeforest.edu/academics/programs/art/galleries.php, ,1546871446000,"{'x': -87.83028801539204, 'y': 42.25229513229792}",-87.83028801539204,42.25229513229792
683,Donnelley and Lee Library,Non Profit,820,Library,555 N Sheridan Rd,Lake Forest,IL, ,Placed on Map,,http://www.lakeforest.edu/library/, ,1546871446000,"{'x': -87.82746131184032, 'y': 42.249496767009425}",-87.82746131184032,42.249496767009425
684,Mother Rudd House Museum/Warren Twp Historical Soc,Municipal,820,Museum,4690 Old Grand Ave,Gurnee,IL, ,Placed on Map,,http://www.motherrudd.org/, ,1546871446000,"{'x': -87.91906144338367, 'y': 42.372365055487116}",-87.91906144338367,42.372365055487116
685,John C Murphy Memorial Library,Non Profit,820,Library,19351 W Washington St,Grayslake,IL, ,Placed on Map,,https://researchguides.clcillinois.edu/libraryhome, ,1561574114000,"{'x': -88.01330424332139, 'y': 42.35424799988363}",-88.01330424332139,42.35424799988363
686,Lake Forest Graduate School of Management Library,Non Profit,820,Library,1905 W Field Ct,Lake Forest,IL, ,Placed on Map,,https://www.lakeforestmba.edu/, ,1561574114000,"{'x': -87.89321348199346, 'y': 42.243328495217334}",-87.89321348199346,42.243328495217334
687,Joe Buley Memorial Library,Non Profit,820,Library,35240 N Grant St,Third Lake,IL, ,Placed on Map,,http://newgracanica.com/library/, ,1546871446000,"{'x': -88.00486605793888, 'y': 42.3740426949636}",-88.00486605793888,42.3740426949636
688,Feehan Memorial Library,Non Profit,820,Library,1000 E Maple Ave.,Mundelein,IL, ,Placed on Map,,https://usml.edu/library/, ,1561574114000,"{'x': -88.00020157918227, 'y': 42.281625182125644}",-88.00020157918227,42.281625182125644
689,Thomas Jefferson Library / Robert Morris College,Private,820,Library,1507 Waukegan Rd,Waukegan,IL, ,Placed on Map,,https://robertmorris.edu/library/, ,1561574114000,"{'x': -87.89402276794473, 'y': 42.33245878577758}",-87.89402276794473,42.33245878577758
690,Boxer University Library,Non Profit,820,Library,3333 Green Bay Rd,North Chicago,IL, ,Placed on Map,,https://www.rosalindfranklin.edu/library/, ,1561574114000,"{'x': -87.85904511872756, 'y': 42.300088013303004}",-87.85904511872756,42.300088013303004
691,Rolfing Memorial Library,Non Profit,820,Library,2065 Half Day Rd,Bannockburn,IL, ,Placed on Map,,http://library.tiu.edu/home, ,1561574114000,"{'x': -87.88104945671495, 'y': 42.197911567586374}",-87.88104945671495,42.197911567586374
692,Hainesville Police Department,Municipal,740,Law Enforcement,100 N Hainesville Rd,Hainesville,IL, ,Placed on Map,,https://www.hainesville.org/, ,1585746459000,"{'x': -88.0682069845794, 'y': 42.34691322985548}",-88.0682069845794,42.34691322985548
693,Howe Family Cemetery,Non Profit,820,Cemetery,39280 N Green Bay Rd,Beach Park,IL, ,Placed on Map,,, ,1546871446000,"{'x': -87.87716390085302, 'y': 42.43256389737449}",-87.87716390085302,42.43256389737449
694,Monaville Cemetery,Non Profit,820,Cemetery,24306 Monaville Rd,Lake Villa,IL, ,Placed on Map,,, ,1546871446000,"{'x': -88.10744004043404, 'y': 42.399910323413074}",-88.10744004043404,42.399910323413074
695,Braeside Cemetery,Non Profit,820,Cemetery, ,Highland Park,IL, ,Placed on Map,,, ,1546871446000,"{'x': -87.77120302359833, 'y': 42.152703694330164}",-87.77120302359833,42.152703694330164
696,Daggitt Cemetery,Non Profit,820,Cemetery, ,Highland Park,IL, ,Placed on Map,,, ,1546871446000,"{'x': -87.77120302359833, 'y': 42.152703694330164}",-87.77120302359833,42.152703694330164
697,Sheperds Burying Ground,Non Profit,820,Cemetery,26730 W Molidor Rd,Ingleside,IL, ,Placed on Map,,, ,1546871446000,"{'x': -88.15439933896072, 'y': 42.34772671269806}",-88.15439933896072,42.34772671269806
698,Oakland Cemetery,Non Profit,820,Cemetery,39923 Deep Lake Rd,Lake Villa,IL, ,Placed on Map,,, ,1546871446000,"{'x': -88.06203295076826, 'y': 42.44326925931383}",-88.06203295076826,42.44326925931383
699,Briggs Family Cemetery,Non Profit,820,Cemetery,22750 W North Lakewood Ln,Lake Zurich,IL, ,Placed on Map,,http://www.barringtonarealibrary.org/cemeteries/290-briggs, ,1546871446000,"{'x': -88.0775556493333, 'y': 42.212080615798016}",-88.0775556493333,42.212080615798016
700,Shaw Family Cemetery,Non Profit,820,Cemetery,31940 N Wilson Rd,Round Lake,IL, ,Placed on Map,,, ,1546871446000,"{'x': -88.12571540969331, 'y': 42.32753440044156}",-88.12571540969331,42.32753440044156
701,Hope Grove Cemetery,Non Profit,820,Cemetery,31940 N Wilson Rd,Round Lake,IL, ,Placed on Map,,, ,1546871446000,"{'x': -88.12571540969331, 'y': 42.32753440044156}",-88.12571540969331,42.32753440044156
702,Slocum Family Cemetery (general area),Private,820,Cemetery, ,Island Lake,IL, ,Placed on Map,,, ,1546871446000,"{'x': -88.18014620305053, 'y': 42.26356990562733}",-88.18014620305053,42.26356990562733
703,Half Day Cemetery,Non Profit,820,Cemetery,15215 Cemetery Rd,Lincolnshire,IL, ,Placed on Map,,, ,1546871446000,"{'x': -87.93048334525314, 'y': 42.20375547792527}",-87.93048334525314,42.20375547792527
704,Lake Villa Cemetery,Non Profit,820,Cemetery, ,Lake Villa,IL, ,Placed on Map,,, ,1546871446000,"{'x': -88.06993882236115, 'y': 42.41147183194721}",-88.06993882236115,42.41147183194721
705,Lake Villa Historical Society,Private,820,Museum,223 Lake Ave,Lake Villa,IL, ,Geocoded,Building,https://www.lake-villa.org/department/index.php?structureid=75, ,1561492681000,"{'x': -88.07628401936994, 'y': 42.41780915579237}",-88.07628401936994,42.41780915579237
706,Russell Military Museum,Private,820,Museum,43363 Old US Highway 41,Russell,IL, ,Placed on Map,,http://russellmilitarymuseum.com/, ,1546871446000,"{'x': -87.95105324710663, 'y': 42.492739921935105}",-87.95105324710663,42.492739921935105
707,Childrens Neighborhood Museum,Municipal,820,Museum,814 Hart Rd,Round Lake,IL,60073,Placed on Map,,https://www.rlapd.org/childrens-neighborhood-museum, ,1546871446000,"{'x': -88.10385497013631, 'y': 42.35871360857323}",-88.10385497013631,42.35871360857323
708,Chicago Medical School,Non Profit,730,College / University,3333 Green Bay Rd,North Chicago,IL, ,Placed on Map,,https://www.rosalindfranklin.edu/academics/chicago-medical-school/, ,1561574114000,"{'x': -87.85904511872756, 'y': 42.300088013303004}",-87.85904511872756,42.300088013303004
709,Scholl College of Podiatric Medicine,Non Profit,730,College / University,3333 Green Bay Rd,North Chicago,IL, ,Placed on Map,,https://www.rosalindfranklin.edu/academics/dr-william-m-scholl-college-of-podiatric-medicine/, ,1561574114000,"{'x': -87.85904511872756, 'y': 42.300088013303004}",-87.85904511872756,42.300088013303004
710,Lindbergh Administration Building,Municipal,730,School: Elementary,1636 Kristan Ave,North Chicago,IL, ,Placed on Map,,https://d187.org/, ,1554126154000,"{'x': -87.8540790395975, 'y': 42.32914905292973}",-87.8540790395975,42.32914905292973
711,Saint Sava School of Theology,Non Profit,730,College / University,32377 IL Route 21,Libertyville,IL, ,Placed on Map,,http://stsava.us/, ,1576512565000,"{'x': -87.95167661503174, 'y': 42.333016463163915}",-87.95167661503174,42.333016463163915
712,Barrington Hills Country Club,Private,820,Golf Course,300 W County Line Rd,Barrington,IL, ,Placed on Map,,https://www.barringtonhillscc.com/, ,1561574114000,"{'x': -88.16599529570469, 'y': 42.15548199017988}",-88.16599529570469,42.15548199017988
713,Biltmore Country Club,Private,820,Golf Course,160 Biltmore Dr,Barrington,IL, ,Placed on Map,,https://www.biltmore-cc.com/, ,1546871446000,"{'x': -88.13494593071597, 'y': 42.19961067116288}",-88.13494593071597,42.19961067116288
714,Grayslake Golf Course,Municipal,820,Golf Course,2150 Drury Lane,Grayslake,IL, ,Placed on Map,,https://www.glpd.com/, ,1561574114000,"{'x': -88.03430564643004, 'y': 42.37780228793863}",-88.03430564643004,42.37780228793863
715,Hawthorn Woods Country Club,Private,820,Golf Course,1 Tournament Dr N,Hawthorn Woods,IL, ,Placed on Map,,https://www.hwccgolf.com/, ,1561574114000,"{'x': -88.07388048699576, 'y': 42.24948820172914}",-88.07388048699576,42.24948820172914
716,Leisure Village Golf Course,Private,820,Golf Course,7313 Leisure Dr,Fox Lake,IL, ,Placed on Map,,https://www.leisurevillagefoxlake.com/, ,1546871446000,"{'x': -88.18979132711952, 'y': 42.43233373638571}",-88.18979132711952,42.43233373638571
717,Northmoor Country Club,Private,820,Golf Course,820 Edgewood Rd,Highland Park,IL, ,Placed on Map,,https://www.northmoor.org/, ,1561574114000,"{'x': -87.79282753232404, 'y': 42.16637591960999}",-87.79282753232404,42.16637591960999
718,Old Elm Golf Club,Private,820,Golf Course,800 Old Elm Rd,Highland Park,IL, ,Placed on Map,,, ,1546871446000,"{'x': -87.8302681832855, 'y': 42.217780345628725}",-87.8302681832855,42.217780345628725
719,Stonehenge Golf Club,Private,820,Golf Course,27250 W IL Route 22,Barrington,IL, ,Placed on Map,,, ,1546871446000,"{'x': -88.16499195299082, 'y': 42.19160114543994}",-88.16499195299082,42.19160114543994
720,The Ivanhoe Club,Private,820,Golf Course,28846 N Thorngate Dr,Mundelein,IL, ,Placed on Map,,https://www.ivanhoeclub.com/, ,1561574114000,"{'x': -88.05591735056967, 'y': 42.28156784370308}",-88.05591735056967,42.28156784370308
721,Twin Orchard Country Club,Private,820,Golf Course,22353 N Old McHenry Rd,Long Grove,IL, ,Placed on Map,,https://www.twinorchardcc.org/, ,1561574114000,"{'x': -87.9977129538928, 'y': 42.186978743864096}",-87.9977129538928,42.186978743864096
722,Willow Glen Golf Club,Federal,820,Golf Course,2821 Great Lakes Rd,Great Lakes,IL, ,Placed on Map,,https://www.navymwrgreatlakes.com/, ,1561574114000,"{'x': -87.8687593456998, 'y': 42.30905362918575}",-87.8687593456998,42.30905362918575
723,Ravinia Festival,Private,820,Outdoor Theater / Amphitheater,418 Sheridan Rd,Highland Park,IL, ,Placed on Map,,https://www.ravinia.org/, ,1561492681000,"{'x': -87.77615808938303, 'y': 42.15770529486829}",-87.77615808938303,42.15770529486829
724,Genesee Theatre,Municipal,820,Auditorium / Concert Hall / Theater / Opera House,221 N Genesee St,Waukegan,IL, ,Placed on Map,,https://www.geneseetheatre.com/, ,1561574114000,"{'x': -87.83090184500546, 'y': 42.362691707289095}",-87.83090184500546,42.362691707289095
725,James Lumber Center for the Performing Arts,Regional,820,Auditorium / Concert Hall / Theater / Opera House,19351 W Washington St,Grayslake,IL, ,Placed on Map,,http://jlcenter.clcillinois.edu/, ,1546871446000,"{'x': -88.01111822451851, 'y': 42.35413108730041}",-88.01111822451851,42.35413108730041
726,Libertyville Sports Complex,Municipal,820,Sports Complex,1950 N US Highway 45,Libertyville,IL, ,Placed on Map,,http://libertyvillesportscomplex.com/157/Parks, ,1546871446000,"{'x': -88.00241390424993, 'y': 42.310083998269846}",-88.00241390424993,42.310083998269846
727,The Tempel Lipizzans,Private,820,Fair / Exhibition / Rodeo Grounds,17000 W Wadsworth Rd,Old Mill Creek,IL, ,Placed on Map,,https://www.tempelfarms.com/, ,1561492681000,"{'x': -87.96515021780617, 'y': 42.43249734325673}",-87.96515021780617,42.43249734325673
728,Marriott Theatre in Lincolnshire,Private,820,Auditorium / Concert Hall / Theater / Opera House,10 Marriott Dr,Lincolnshire,IL, ,Placed on Map,,https://www.marriotttheatre.com/, ,1561492681000,"{'x': -87.92437245132832, 'y': 42.19638040431667}",-87.92437245132832,42.19638040431667
729,Adlai E Stevenson Historic Home,County,820,Historic Site / Point of Interest,25200 N Saint Marys Rd,Mettawa,IL, ,Placed on Map,,https://www.lcfpd.org/stevenson-home/, ,1561574114000,"{'x': -87.93050498117674, 'y': 42.22881860964933}",-87.93050498117674,42.22881860964933
730,Fish Lake Beach Campground,Private,820,Campground, ,Volo,IL, ,Placed on Map,,https://www.fishlakebeach.com/, ,1561574114000,"{'x': -88.1599916821844, 'y': 42.331873482144694}",-88.1599916821844,42.331873482144694
731,Lambs Farm,Private,820,Amusement / Water Park,14245 W Rockland Rd,Green Oaks,IL, ,Placed on Map,,https://www.lambsfarm.org/, ,1561492681000,"{'x': -87.90897570734589, 'y': 42.27875703328325}",-87.90897570734589,42.27875703328325
732,Long Grove Confectionery Company,Private,820,Public Attraction or Landmark Building,220 Robert Parker Coffin Rd,Long Grove,IL, ,Placed on Map,,http://www.longgrove.com/, ,1546871446000,"{'x': -87.99680983441854, 'y': 42.178379027425756}",-87.99680983441854,42.178379027425756
733,North Point Marina State Recreation Area ,State,820,Marina, ,Winthrop Harbor,IL, ,Placed on Map,,https://www.dnr.illinois.gov/Parks/Pages/NorthPointMarina.aspx, ,1546871446000,"{'x': -87.80549380208463, 'y': 42.482402417518756}",-87.80549380208463,42.482402417518756
734,Lake Michigan Charter Fishing - Waukegan Harbor,Municipal,820,Marina, ,Waukegan,IL, ,Placed on Map,,, ,1546871446000,"{'x': -87.82500526215802, 'y': 42.36049416458426}",-87.82500526215802,42.36049416458426
735,Waukegan Harbor and Marina,Municipal,820,Marina, ,Waukegan,IL, ,Placed on Map,,https://waukeganharbor.com/, ,1561492681000,"{'x': -87.82446022193577, 'y': 42.36005298681945}",-87.82446022193577,42.36005298681945
736,Six Flags Great America,Private,820,Amusement / Water Park, ,Gurnee,IL, ,Placed on Map,,https://www.sixflags.com/greatamerica, ,1546871446000,"{'x': -87.93355887854527, 'y': 42.36810139586896}",-87.93355887854527,42.36810139586896
737,The People's Family Fun Center of Waukegan,Private,820,Public Attraction or Landmark Building,2411 Grand Ave,Waukegan,IL, ,Placed on Map,,http://www.funwithrocky.com/, ,1546871446000,"{'x': -87.86360908139376, 'y': 42.36949257398349}",-87.86360908139376,42.36949257398349
738,Tilt Studio,Private,820,Ice Arena,6152 W Grand Ave,Gurnee,IL, ,Placed on Map,,https://tiltstudio.com/, ,1561492681000,"{'x': -87.95694059617128, 'y': 42.39233792610226}",-87.95694059617128,42.39233792610226
740,Kristof's Entertainment Center,Private,820,Amusement / Water Park,421 W Rollins Rd,Round Lake Beach,IL, ,Placed on Map,,https://www.kristofs.net/, ,1561574114000,"{'x': -88.09418732620145, 'y': 42.378652031722105}",-88.09418732620145,42.378652031722105
741,WhirlyBall Vernon Hills,Private,820,Amusement / Water Park,285 Center Dr,Vernon Hills,IL, ,Placed on Map,,https://www.whirlyball.com/, ,1561574114000,"{'x': -87.95654451728441, 'y': 42.24357886794306}",-87.95654451728441,42.24357886794306
742,Cultural & Civic Center of Round Lake Beach,Municipal,820,Community / Recreation Center,2007 Civic Center Way,Round Lake Beach,IL, ,Placed on Map,,https://www.rlbciviccenter.com/, ,1561574114000,"{'x': -88.06726603704854, 'y': 42.38351554934622}",-88.06726603704854,42.38351554934622
743,Shiloh House,Municipal,820,Museum,1300 Shiloh Blvd,Zion,IL, ,Placed on Map,,http://www.zionhs.com/shiloh_house.htm, ,1546871446000,"{'x': -87.82712231280493, 'y': 42.45071910571189}",-87.82712231280493,42.45071910571189
744,CityPark,Private,820,Public Attraction or Landmark Building,250 Parkway Dr,Lincolnshire,IL, ,Placed on Map,,http://www.gocitypark.com/, ,1546871446000,"{'x': -87.92831934236123, 'y': 42.1792325976614}",-87.92831934236123,42.1792325976614
745,Didier Farms,Private,701,Farm / Ranch,16678 W Aptakisic Rd,Prairie View,IL, ,Placed on Map,,https://didierfarms.com/, ,1561574114000,"{'x': -87.95976014464176, 'y': 42.18368151689242}",-87.95976014464176,42.18368151689242
746,Dungeon of Doom Haunted House,Private,820,Amusement / Water Park,2701 Deborah Ave,Zion,IL, ,Placed on Map,,https://www.facebook.com/DungeonofDoom, ,1561574114000,"{'x': -87.815609371173, 'y': 42.446165089113556}",-87.815609371173,42.446165089113556
747,Historic Volo Country Village,Private,820,Historic Site / Point of Interest,27640 W Volo Village Rd,Volo,IL, ,Placed on Map,,https://voloshopping.com/, ,1561574114000,"{'x': -88.17199665894522, 'y': 42.32721694554269}",-88.17199665894522,42.32721694554269
748,Lake Barrington Field House,Private,820,Sports Complex,28156 W Northpointe Pkwy,Lake Barrington,IL, ,Placed on Map,,https://www.canlansports.com:443/lakebarrington/Default.aspx, ,1561574114000,"{'x': -88.18211679237353, 'y': 42.18943205469241}",-88.18211679237353,42.18943205469241
749,Lake County Fairgrounds,Non Profit,820,Fair / Exhibition / Rodeo Grounds,1060 E Peterson Rd,Grayslake,IL, ,Placed on Map,,https://lcfair.com/, ,1561574114000,"{'x': -88.02142324111377, 'y': 42.310561325748935}",-88.02142324111377,42.310561325748935
750,Elawa Park / Wildlife Discovery Center,Private,820,Park,1401 Middlefork Dr,Lake Forest,IL, ,Placed on Map,,https://elawafarm.org/, ,1561574114000,"{'x': -87.88103488604104, 'y': 42.257580280478116}",-87.88103488604104,42.257580280478116
751,DeVry University,Private,730,College / University,1075 Tri State Pkwy,Gurnee,IL, ,Placed on Map,,https://www.devry.edu/about/campus-locations/illinois/gurnee.html, ,1561574114000,"{'x': -87.94761107810936, 'y': 42.375791646243655}",-87.94761107810936,42.375791646243655
752,Robert Morris College,Private,730,College / University,1507 Waukegan Rd,Waukegan,IL, ,Placed on Map,,https://robertmorris.edu/transfer/lakecounty/, ,1561574114000,"{'x': -87.89402276794473, 'y': 42.33245878577758}",-87.89402276794473,42.33245878577758
753,Southern Illinois University Carbondale,Federal,730,College / University,BLDG 617,Great Lakes,IL, ,Placed on Map,,https://www.ucenter.org/southern-illinois-university-carbon, ,1576509776000,"{'x': -87.84381212953656, 'y': 42.31249278875351}",-87.84381212953656,42.31249278875351
754,Lakeview Fitness Center,Municipal,820,Community / Recreation Center,700 Lakeview Pkwy,Vernon Hills,IL,60061,Placed on Map,,http://www.vhparkdistrict.org/lakeview-fitness/,(847) 996-6330,1546871446000,"{'x': -87.95754493238879, 'y': 42.23693600651132}",-87.95754493238879,42.23693600651132
755,38-Acre Park,Municipal,820,Park, ,Winthrop Harbor,IL, ,Placed on Map,,http://www.winthropharbor.com/, ,1561577370000,"{'x': -87.83437967532288, 'y': 42.48068267772799}",-87.83437967532288,42.48068267772799
756,Schlader Recreation Center,Municipal,820,Community / Recreation Center,2700 9th St,Winthrop Harbor,IL,60096,Placed on Map,,http://www.winthropharbor.com/, ,1561577370000,"{'x': -87.83409557413113, 'y': 42.479503821120915}",-87.83409557413113,42.479503821120915
757,Skate Park,Municipal,820,Park, ,Winthrop Harbor,IL, ,Placed on Map,,http://www.winthropharbor.com/, ,1561577370000,"{'x': -87.83291347925213, 'y': 42.47956726510306}",-87.83291347925213,42.47956726510306
758,Aaron Park,Municipal,820,Park, ,Zion,IL, ,Placed on Map,,https://zionparkdistrict.com/, ,1561574114000,"{'x': -87.84307510316846, 'y': 42.43696896046137}",-87.84307510316846,42.43696896046137
759,Adelphi Park,Municipal,820,Park,3151 Wall Ave,Waukegan,IL,60087,Placed on Map,,https://www.waukeganparks.org/location/adelphi-park/, ,1561574114000,"{'x': -87.878444624462, 'y': 42.39519315536836}",-87.878444624462,42.39519315536836
760,School District 125 Office,Municipal,730,Education Facility,2 Stevenson Dr,Lincolnshire,IL, ,Placed on Map,,https://www.d125.org/, ,1561991957000,"{'x': -87.94722269508954, 'y': 42.198649629935005}",-87.94722269508954,42.198649629935005
761,Adler Park,Municipal,820,Park, ,Libertyville,IL, ,Placed on Map,,http://libertyvillesportscomplex.com/157/Parks, ,1546871446000,"{'x': -87.95108541038707, 'y': 42.30166271786433}",-87.95108541038707,42.30166271786433
762,Allendale - Becker House,Non Profit,730,Education Facility,448 N Genesee St,Waukegan,IL, ,Placed on Map,,https://allendale4kids.org/, ,1561574114000,"{'x': -87.83167811337846, 'y': 42.36689573289345}",-87.83167811337846,42.36689573289345
763,Allendale - Walter Cherry,Non Profit,730,Education Facility,421 W Water St,Waukegan,IL, ,Placed on Map,,https://allendale4kids.org/, ,1561574114000,"{'x': -87.8351077329112, 'y': 42.3579868553214}",-87.8351077329112,42.3579868553214
764,Amarias Park,Municipal,820,Park, ,Round Lake,IL, ,Placed on Map,,https://www.rlapd.org/, ,1561492681000,"{'x': -88.09286341428854, 'y': 42.31795208707474}",-88.09286341428854,42.31795208707474
765,Antler Park,Municipal,820,Park, ,Grayslake,IL, ,Placed on Map,,https://www.glpd.com/, ,1561492681000,"{'x': -88.05882345081946, 'y': 42.34952783755901}",-88.05882345081946,42.34952783755901
766,Apple Hill Park,Municipal,820,Park,2275 Apple Hill Ln,Buffalo Grove,IL,60089,Placed on Map,,http://bgparks.org/, ,1546871446000,"{'x': -87.94668689493832, 'y': 42.19150657663519}",-87.94668689493832,42.19150657663519
767,School District 102 Office,Municipal,730,Education Facility,1231 Weiland Rd,Buffalo Grove,IL, ,Placed on Map,,http://www.d102.org/, ,1546871446000,"{'x': -87.94853158537425, 'y': 42.174712928568816}",-87.94853158537425,42.174712928568816
768,Aptakisic Park,Municipal,820,Park,1231 Weiland Rd,Buffalo Grove,IL,60089,Placed on Map,,http://bgparks.org/, ,1546871446000,"{'x': -87.94801747774054, 'y': 42.1731536935202}",-87.94801747774054,42.1731536935202
769,Arbor Park,Municipal,820,Park,1151 Pleasant Hill Gate,Waukegan,IL,60085,Placed on Map,,https://www.waukeganparks.org/location/arbor-park/, ,1561574114000,"{'x': -87.90935913256365, 'y': 42.33897800134447}",-87.90935913256365,42.33897800134447
770,Esper A Petersen Foundation Family Aquatic Center,Municipal,820,Amusement / Water Park, ,Grayslake,IL, ,Placed on Map,,http://www.villageofgrayslake.com/302/Grayslake-Aquatic-Center, ,1561574114000,"{'x': -88.03546934201538, 'y': 42.34779650240014}",-88.03546934201538,42.34779650240014
771,Central Park,Municipal,820,Park, ,Grayslake,IL, ,Placed on Map,,https://www.glpd.com/, ,1561492681000,"{'x': -88.03809177585802, 'y': 42.34860232691116}",-88.03809177585802,42.34860232691116
772,Armory Park,Municipal,820,Park,1335 Lorraine Pl,Waukegan,IL,60085,Placed on Map,,https://www.waukeganparks.org/location/armory-park/, ,1561574114000,"{'x': -87.85222735487872, 'y': 42.379337565639354}",-87.85222735487872,42.379337565639354
773,Artesian Park,Municipal,820,Park, ,Lake Bluff,IL, ,Placed on Map,,https://www.lakebluffparks.org/, ,1561492681000,"{'x': -87.84479722836535, 'y': 42.27711409728543}",-87.84479722836535,42.27711409728543
774,Asbury Park,Municipal,820,Park, ,Mundelein,IL, ,Placed on Map,,https://mundeleinparks.org/facilities-parks/asbury-park/, ,1561574114000,"{'x': -88.02074313200204, 'y': 42.29366123148218}",-88.02074313200204,42.29366123148218
775,Aspen Backyard Park,Private,820,Park, ,Vernon Hills,IL, ,Placed on Map,,http://www.vhparkdistrict.org/parks/aspen-backyard/, ,1546871446000,"{'x': -87.97057416733824, 'y': 42.22837412718117}",-87.97057416733824,42.22837412718117
776,Westwood Park,Private,820,Park, ,Vernon Hills,IL, ,Placed on Map,,http://www.vhparkdistrict.org/parks/westwood/, ,1546871446000,"{'x': -87.97184514153146, 'y': 42.22806371283745}",-87.97184514153146,42.22806371283745
777,Atkinson Road Open Space,Municipal,820,Park, ,Green Oaks,IL, ,Placed on Map,,http://www.greenoaks.org/, ,1546871446000,"{'x': -87.91252107031141, 'y': 42.2946608452806}",-87.91252107031141,42.2946608452806
778,Auburn Meadows Park,Municipal,820,Park, ,Lindenhurst,IL, ,Placed on Map,,http://www.lindenhurstparks.org/, ,1546871446000,"{'x': -88.03462683546661, 'y': 42.43315748497505}",-88.03462683546661,42.43315748497505
779,Augusta Park,Municipal,820,Park, ,Vernon Hills,IL, ,Placed on Map,,http://www.vhparkdistrict.org/parks/augusta/, ,1546871446000,"{'x': -87.96797798226824, 'y': 42.233191354753565}",-87.96797798226824,42.233191354753565
780,Avon Baseball Complex,Municipal,820,Sports Complex, ,Hainesville,IL, ,Placed on Map,,https://www.glpd.com/, ,1561492681000,"{'x': -88.06496299920519, 'y': 42.353148047230185}",-88.06496299920519,42.353148047230185
781,Union Square Park,Municipal,820,Park, ,Hainesville,IL, ,Placed on Map,,https://www.glpd.com/, ,1561492681000,"{'x': -88.06491294058598, 'y': 42.35223325164797}",-88.06491294058598,42.35223325164797
782,Washington Street Tennis Courts,Municipal,820,Sports Complex, ,Round Lake Park,IL, ,Placed on Map,,https://www.rlapd.org/, ,1561492681000,"{'x': -88.07116593720893, 'y': 42.35608659297312}",-88.07116593720893,42.35608659297312
783,Cambridge Knoll Park,Municipal,820,Park, ,Libertyville,IL, ,Placed on Map,,http://libertyvillesportscomplex.com/157/Parks, ,1546871446000,"{'x': -87.96106420109194, 'y': 42.2763663093552}",-87.96106420109194,42.2763663093552
784,School District 117 Office,Municipal,730,Education Facility,1625 Deep Lake Rd,Lake Villa,IL, ,Placed on Map,,https://www.chsd117.org/, ,1561492681000,"{'x': -88.06036451607926, 'y': 42.4459028953471}",-88.06036451607926,42.4459028953471
785,Balzer Park,Municipal,820,Park,30 Windsor Dr,Lincolnshire,IL, ,Placed on Map,,https://www.lincolnshireil.gov/residents/parks-and-paths/lincolnshire-parks/balzer-park, ,1558722780000,"{'x': -87.88967803283542, 'y': 42.19372937801002}",-87.88967803283542,42.19372937801002
786,School District 106 Office,Municipal,730,Education Facility,2165 Telegraph Rd,Bannockburn,IL, ,Placed on Map,,https://www.bannockburnschool.org/, ,1561492681000,"{'x': -87.86435603414576, 'y': 42.19207083258908}",-87.86435603414576,42.19207083258908
787,School District 220 Office,Municipal,730,Education Facility,310 E James St,Barrington,IL, ,Placed on Map,,https://www.barrington220.org/Domain/1, ,1561492681000,"{'x': -88.13256662859993, 'y': 42.15946763648536}",-88.13256662859993,42.15946763648536
788,Beach Park,Municipal,820,Park, ,Wauconda,IL, ,Placed on Map,,http://waucondaparks.org/, ,1546871446000,"{'x': -88.14061001070327, 'y': 42.26109764171984}",-88.14061001070327,42.26109764171984
789,Beaver Creek Park,Municipal,820,Park, ,Vernon Hills,IL, ,Placed on Map,,http://www.vhparkdistrict.org/parks/beaver-creek-park/, ,1546871446000,"{'x': -87.96405595031418, 'y': 42.263610504663376}",-87.96405595031418,42.263610504663376
790,Beck Basin Park,Municipal,820,Park, ,Lindenhurst,IL, ,Placed on Map,,http://www.lindenhurstparks.org/, ,1546871446000,"{'x': -88.02703400069908, 'y': 42.42300830283999}",-88.02703400069908,42.42300830283999
791,Bedrosian Park,Municipal,820,Park,201 W Liberty Rd,Waukegan,IL,60085,Placed on Map,,https://www.waukeganparks.org/location/bedrosian-park/, ,1561574114000,"{'x': -87.83264641101647, 'y': 42.35357134935433}",-87.83264641101647,42.35357134935433
792,Belle Foret Prairie,Private,820,Park, ,Lake Bluff,IL, ,Placed on Map,,https://www.lakebluffparks.org/, ,1561492681000,"{'x': -87.86561374471381, 'y': 42.28909372537053}",-87.86561374471381,42.28909372537053
793,Belvidere Park,Municipal,820,Park,412 S Lewis Ave,Waukegan,IL,60085,Placed on Map,,https://www.waukeganparks.org/location/belvidere-park/, ,1561574114000,"{'x': -87.85836350583605, 'y': 42.3521714532421}",-87.85836350583605,42.3521714532421
